loss,accuracy,val_loss,val_accuracy
2.841850757598877,0.10823071748018265,2.3702073097229004,0.2577809691429138
2.2942023277282715,0.2479657232761383,1.6389929056167603,0.4505763649940491
1.6629831790924072,0.4312306344509125,1.0270769596099854,0.6479827165603638
1.2683475017547607,0.5570317506790161,0.6792343258857727,0.76930832862854
1.0295161008834839,0.6371426582336426,0.5662353038787842,0.801152765750885
0.8851262331008911,0.6871894598007202,0.5088924765586853,0.7959654331207275
0.7499507665634155,0.7322315573692322,0.4152073860168457,0.8448126912117004
0.6633884906768799,0.7677684426307678,0.3873167932033539,0.8589337468147278
0.593792200088501,0.7882552146911621,0.3523760437965393,0.8740633726119995
0.5261025428771973,0.8139986991882324,0.3227024972438812,0.8857348561286926
0.4799368977546692,0.8279685974121094,0.3312593698501587,0.8900576233863831
0.4428378939628601,0.8413984179496765,0.24512535333633423,0.9246397614479065
0.4017540216445923,0.8580327033996582,0.24427281320095062,0.9211815595626831
0.3744327127933502,0.866061806678772,0.240550696849823,0.9233429431915283
0.35144171118736267,0.876683235168457,0.2213696390390396,0.9324207305908203
0.31937605142593384,0.8877367377281189,0.1999204009771347,0.9451008439064026
0.3023003935813904,0.8929214477539062,0.22078804671764374,0.9357348680496216
0.286243200302124,0.8994023203849792,0.23406058549880981,0.9195965528488159
0.2658125162124634,0.9078634977340698,0.20290690660476685,0.93097984790802
0.26066938042640686,0.9096997380256653,0.19836470484733582,0.9384726285934448
0.24025127291679382,0.9174407720565796,0.1494881808757782,0.9536023139953613
0.2221725583076477,0.9233815670013428,0.12452881783246994,0.9554755091667175
0.2130734920501709,0.9270541071891785,0.17771071195602417,0.9322766661643982
0.2097427397966385,0.9280622005462646,0.1803341805934906,0.9479827284812927
0.20463725924491882,0.9291423559188843,0.1313062310218811,0.949135422706604
0.18721355497837067,0.9345070719718933,0.17851726710796356,0.9396253824234009
0.1830388754606247,0.9370274543762207,0.26447728276252747,0.9051873087882996
0.17506013810634613,0.9411320090293884,0.10701702535152435,0.9625360369682312
0.17000165581703186,0.9411680102348328,0.14342468976974487,0.9540345668792725
0.16107378900051117,0.943436324596405,0.116648368537426,0.9622478485107422
0.15842777490615845,0.9459206461906433,0.14273960888385773,0.9550432562828064
0.14520752429962158,0.948585033416748,0.11670020967721939,0.970317006111145
0.14553217589855194,0.9506732821464539,0.1723451316356659,0.930115282535553
0.14740079641342163,0.9490890502929688,0.12631100416183472,0.9548991322517395
0.13483822345733643,0.9538777470588684,0.08185204863548279,0.9757925271987915
0.13231535255908966,0.9546338319778442,0.09258536994457245,0.9613832831382751
0.12543712556362152,0.9566500782966614,0.14209669828414917,0.950720489025116
0.12893688678741455,0.9566500782966614,0.09977847337722778,0.9610950946807861
0.11944553256034851,0.9585583806037903,0.141631081700325,0.9515849947929382
0.12113698571920395,0.9581623077392578,0.1322527378797531,0.9567723274230957
0.11243446916341782,0.9612227082252502,0.1356104463338852,0.9557636976242065
0.11857711523771286,0.9606466293334961,0.10414614528417587,0.9618155360221863
0.10731066763401031,0.9633830189704895,0.07810269296169281,0.9721902012825012
0.1045154482126236,0.965003252029419,0.06862523406744003,0.9747838377952576
0.10312577337026596,0.9640311002731323,0.08204327523708344,0.9730547666549683
0.09808846563100815,0.9668034911155701,0.06129326671361923,0.9775215983390808
0.09827420860528946,0.9668754935264587,0.08477739989757538,0.9770893454551697
0.09112516045570374,0.968927800655365,0.05491739138960838,0.9809798002243042
0.09834762662649155,0.9661554098129272,0.11812455952167511,0.9608069062232971
0.08975659310817719,0.9696838855743408,0.06746281683444977,0.9768011569976807
